type	latitude	longitude	altitude (m)	name
W	41.906384973	-121.000735952	1396.0	332
W	41.906384973	-120.959413449	1418.2	333
W	41.906384973	-120.918090946	1442.9	334
W	41.906384973	-120.876768443	1489.7	335
W	41.906384973	-120.835445939	1536.8	336
W	41.906384973	-120.794123436	1593.2	337
W	41.906384973	-120.752800933	1593.6	338
W	41.906384973	-120.711478430	1623.1	339
W	41.906384973	-120.670155927	1614.5	340
W	41.906384973	-120.628833424	1632.8	341
W	41.906384973	-120.587510921	1631.0	342
W	41.906384973	-120.546188418	1643.1	343
W	41.906384973	-120.504865915	1434.1	344
W	41.906384973	-120.463543412	1434.1	345
W	41.906384973	-120.422220909	1434.1	346
W	41.906384973	-120.380898406	1434.1	347
W	41.906384973	-120.339575903	1465.5	348
W	41.906384973	-120.298253400	1674.3	349
W	41.906384973	-120.256930897	2371.6	350
W	41.906384973	-120.215608393	1695.4	351
W	41.906384973	-120.174285890	1652.5	352
W	41.906384973	-120.132963387	1598.3	353
W	41.906384973	-120.091640884	1699.8	354
W	41.906384973	-120.050318381	1598.8	355
W	41.906384973	-120.008995878	1619.2	356
W	41.875623826	-124.182568688	5.3	357
W	41.875623826	-124.141246185	10.9	358
W	41.875623826	-124.099923682	207.4	359
W	41.875623826	-124.058601179	516.9	360
W	41.875623826	-124.017278676	273.7	361
W	41.875623826	-123.975956173	578.1	362
W	41.875623826	-123.934633670	577.7	363
W	41.875623826	-123.893311167	1003.3	364
W	41.875623826	-123.851988664	368.4	365
W	41.875623826	-123.810666160	486.2	366
W	41.875623826	-123.769343657	638.6	367
W	41.875623826	-123.728021154	928.6	368
W	41.875623826	-123.686698651	1120.4	369
W	41.875623826	-123.645376148	1549.2	370
W	41.875623826	-123.604053645	1793.1	371
W	41.875623826	-123.562731142	1051.5	372
W	41.875623826	-123.521408639	942.9	373
W	41.875623826	-123.480086136	560.8	374
W	41.875623826	-123.438763633	479.8	375
W	41.875623826	-123.397441130	782.4	376
W	41.875623826	-123.356118627	1164.3	377
W	41.875623826	-123.314796124	586.3	378
W	41.875623826	-123.273473621	778.4	379
W	41.875623826	-123.232151118	716.5	380
W	41.875623826	-123.190828614	986.4	381
W	41.875623826	-123.149506111	850.2	382
W	41.875623826	-123.108183608	1126.3	383
W	41.875623826	-123.066861105	1031.6	384
W	41.875623826	-123.025538602	936.4	385
W	41.875623826	-122.984216099	1014.1	386
W	41.875623826	-122.942893596	1409.3	387
W	41.875623826	-122.901571093	972.8	388
W	41.875623826	-122.860248590	1220.6	389
W	41.875623826	-122.818926087	546.2	390
W	41.875623826	-122.777603584	1214.6	391
W	41.875623826	-122.736281081	702.1	392
W	41.875623826	-122.694958578	953.6	393
W	41.875623826	-122.653636075	1532.9	394
W	41.875623826	-122.612313571	1210.0	395
W	41.875623826	-122.570991068	802.8	396
W	41.875623826	-122.529668565	879.4	397
W	41.875623826	-122.488346062	812.0	398
W	41.875623826	-122.447023559	867.3	399
W	41.875623826	-122.405701056	878.7	400
W	41.875623826	-122.364378553	990.0	401
W	41.875623826	-122.323056050	1179.2	402
W	41.875623826	-122.281733547	1756.6	403
W	41.875623826	-122.240411044	2053.0	404
W	41.875623826	-122.199088541	1725.7	405
W	41.875623826	-122.157766038	1456.4	406
W	41.875623826	-122.116443535	1291.2	407
W	41.875623826	-122.075121032	1290.2	408
W	41.875623826	-122.033798529	1291.2	409
W	41.875623826	-121.992476025	1292.6	410
W	41.875623826	-121.951153522	1290.3	411
W	41.875623826	-121.909831019	1292.5	412
W	41.875623826	-121.868508516	1399.8	413
W	41.875623826	-121.827186013	1543.6	414
W	41.875623826	-121.785863510	1256.1	415
W	41.875623826	-121.744541007	1372.8	416
W	41.875623826	-121.703218504	1246.2	417
W	41.875623826	-121.661896001	1353.3	418
W	41.875623826	-121.620573498	1304.6	419
W	41.875623826	-121.579250995	1445.2	420
W	41.875623826	-121.537928492	1229.9	421
W	41.875623826	-121.496605989	1229.8	422
W	41.875623826	-121.455283486	1228.4	423
W	41.875623826	-121.413960982	1229.5	424
W	41.875623826	-121.372638479	1232.5	425
W	41.875623826	-121.331315976	1231.5	426
W	41.875623826	-121.289993473	1347.0	427
W	41.875623826	-121.248670970	1439.7	428
W	41.875623826	-121.207348467	1366.6	429
W	41.875623826	-121.166025964	1366.6	430
W	41.875623826	-121.124703461	1366.6	431
W	41.875623826	-121.083380958	1366.6	432
W	41.875623826	-121.042058455	1394.0	433
W	41.875623826	-121.000735952	1405.8	434
W	41.875623826	-120.959413449	1405.2	435
W	41.875623826	-120.918090946	1497.5	436
W	41.875623826	-120.876768443	1534.5	437
W	41.875623826	-120.835445939	1534.8	438
W	41.875623826	-120.794123436	1556.2	439
W	41.875623826	-120.752800933	1552.9	440
W	41.875623826	-120.711478430	1562.5	441
W	41.875623826	-120.670155927	1560.5	442
W	41.875623826	-120.628833424	1586.5	443
W	41.875623826	-120.587510921	1635.5	444
W	41.875623826	-120.546188418	1611.1	445
W	41.875623826	-120.504865915	1461.3	446
W	41.875623826	-120.463543412	1434.1	447
W	41.875623826	-120.422220909	1434.1	448
W	41.875623826	-120.380898406	1434.1	449
W	41.875623826	-120.339575903	1513.1	450
W	41.875623826	-120.298253400	1548.6	451
W	41.875623826	-120.256930897	1992.4	452
W	41.875623826	-120.215608393	2211.0	453
W	41.875623826	-120.174285890	1607.8	454
W	41.875623826	-120.132963387	1385.7	455
W	41.875623826	-120.091640884	1393.7	456
W	41.875623826	-120.050318381	1628.9	457
W	41.875623826	-120.008995878	1647.1	458
W	41.844847866	-124.182568688	2.2	459
W	41.844847866	-124.141246185	37.6	460
W	41.844847866	-124.099923682	157.3	461
W	41.844847866	-124.058601179	485.5	462
W	41.844847866	-124.017278676	166.5	463
W	41.844847866	-123.975956173	115.6	464
W	41.844847866	-123.934633670	279.0	465
W	41.844847866	-123.893311167	440.1	466
W	41.844847866	-123.851988664	626.4	467
W	41.844847866	-123.810666160	427.4	468
W	41.844847866	-123.769343657	951.3	469
W	41.844847866	-123.728021154	953.3	470
W	41.844847866	-123.686698651	1127.1	471
W	41.844847866	-123.645376148	1219.4	472
W	41.844847866	-123.604053645	1464.9	473
W	41.844847866	-123.562731142	1119.0	474
W	41.844847866	-123.521408639	1471.2	475
W	41.844847866	-123.480086136	1151.6	476
W	41.844847866	-123.438763633	928.3	477
W	41.844847866	-123.397441130	680.1	478
W	41.844847866	-123.356118627	968.3	479
W	41.844847866	-123.314796124	758.5	480
W	41.844847866	-123.273473621	855.5	481
W	41.844847866	-123.232151118	654.4	482
W	41.844847866	-123.190828614	425.6	483
W	41.844847866	-123.149506111	695.5	484
W	41.844847866	-123.108183608	1137.7	485
W	41.844847866	-123.066861105	782.1	486
W	41.844847866	-123.025538602	564.6	487
W	41.844847866	-122.984216099	884.7	488
W	41.844847866	-122.942893596	583.6	489
W	41.844847866	-122.901571093	518.0	490
W	41.844847866	-122.860248590	789.8	491
W	41.844847866	-122.818926087	781.7	492
W	41.844847866	-122.777603584	987.7	493
W	41.844847866	-122.736281081	1118.3	494
