time,relhumid-min_day_CNRM-CM5_rcp85
2006-10-15 00:00:00+00:00,35.04643
2006-10-16 00:00:00+00:00,39.968998
2006-10-17 00:00:00+00:00,30.478258
2006-10-18 00:00:00+00:00,24.438492
2006-10-19 00:00:00+00:00,18.200066
2006-10-20 00:00:00+00:00,20.56202
2006-10-21 00:00:00+00:00,18.796974
2006-10-22 00:00:00+00:00,13.897555
2006-10-23 00:00:00+00:00,14.926983
2006-10-24 00:00:00+00:00,17.82877
2006-10-25 00:00:00+00:00,15.134166
2006-10-26 00:00:00+00:00,17.19635
2006-10-27 00:00:00+00:00,20.310905
2006-10-28 00:00:00+00:00,24.007185
2006-10-29 00:00:00+00:00,33.937614
2006-10-30 00:00:00+00:00,29.495947
2006-10-31 00:00:00+00:00,25.02826
2006-11-01 00:00:00+00:00,25.188673
2006-11-02 00:00:00+00:00,46.451332
2006-11-03 00:00:00+00:00,51.74449
2006-11-04 00:00:00+00:00,45.51388
2006-11-05 00:00:00+00:00,35.23505
2006-11-06 00:00:00+00:00,23.984596
2006-11-07 00:00:00+00:00,24.309557
2006-11-08 00:00:00+00:00,34.657333
2006-11-09 00:00:00+00:00,35.33264
2006-11-10 00:00:00+00:00,29.141634
2006-11-11 00:00:00+00:00,29.645123
2006-11-12 00:00:00+00:00,41.96519
2006-11-13 00:00:00+00:00,54.1777
2006-11-14 00:00:00+00:00,52.61716
2006-11-15 00:00:00+00:00,55.243385
2006-11-16 00:00:00+00:00,57.842915
2006-11-17 00:00:00+00:00,66.82333
2006-11-18 00:00:00+00:00,69.26654
2006-11-19 00:00:00+00:00,63.953804
2006-11-20 00:00:00+00:00,71.04054
2006-11-21 00:00:00+00:00,52.337082
2006-11-22 00:00:00+00:00,41.416386
2006-11-23 00:00:00+00:00,39.276165
2006-11-24 00:00:00+00:00,45.793568
2006-11-25 00:00:00+00:00,40.48972
2006-11-26 00:00:00+00:00,36.00736
2006-11-27 00:00:00+00:00,34.038513
2006-11-28 00:00:00+00:00,32.907154
2006-11-29 00:00:00+00:00,38.434315
2006-11-30 00:00:00+00:00,36.268726
2006-12-01 00:00:00+00:00,29.176096
2006-12-02 00:00:00+00:00,28.611322
2006-12-03 00:00:00+00:00,37.067753
2006-12-04 00:00:00+00:00,40.722794
2006-12-05 00:00:00+00:00,36.1878
2006-12-06 00:00:00+00:00,32.874718
2006-12-07 00:00:00+00:00,33.498863
2006-12-08 00:00:00+00:00,37.289654
2006-12-09 00:00:00+00:00,40.57938
2006-12-10 00:00:00+00:00,59.17849
2006-12-11 00:00:00+00:00,59.081814
2006-12-12 00:00:00+00:00,83.72537
2006-12-13 00:00:00+00:00,78.97584
2006-12-14 00:00:00+00:00,75.58824
2006-12-15 00:00:00+00:00,62.159798
2006-12-16 00:00:00+00:00,59.23485
2006-12-17 00:00:00+00:00,65.71624
2006-12-18 00:00:00+00:00,58.38611
2006-12-19 00:00:00+00:00,55.456367
2006-12-20 00:00:00+00:00,55.367428
2006-12-21 00:00:00+00:00,47.612633
2006-12-22 00:00:00+00:00,54.85657
2006-12-23 00:00:00+00:00,57.28491
2006-12-24 00:00:00+00:00,53.75351
2006-12-25 00:00:00+00:00,54.253475
2006-12-26 00:00:00+00:00,54.520317
2006-12-27 00:00:00+00:00,60.50131
2006-12-28 00:00:00+00:00,60.28657
2006-12-29 00:00:00+00:00,66.37791
2006-12-30 00:00:00+00:00,49.422993
2006-12-31 00:00:00+00:00,60.332203
2007-01-01 00:00:00+00:00,62.614906
2007-01-02 00:00:00+00:00,68.34852
2007-01-03 00:00:00+00:00,55.46486
2007-01-04 00:00:00+00:00,52.763535
2007-01-05 00:00:00+00:00,60.990883
2007-01-06 00:00:00+00:00,52.12572
2007-01-07 00:00:00+00:00,57.81444
2007-01-08 00:00:00+00:00,67.094055
2007-01-09 00:00:00+00:00,73.50749
2007-01-10 00:00:00+00:00,63.723568
2007-01-11 00:00:00+00:00,55.666294
2007-01-12 00:00:00+00:00,55.3426
2007-01-13 00:00:00+00:00,69.50578
2007-01-14 00:00:00+00:00,80.488434
2007-01-15 00:00:00+00:00,79.67174
2007-01-16 00:00:00+00:00,86.94159
2007-01-17 00:00:00+00:00,90.57929
2007-01-18 00:00:00+00:00,82.11302
2007-01-19 00:00:00+00:00,80.21583
2007-01-20 00:00:00+00:00,72.35238
2007-01-21 00:00:00+00:00,65.1182
2007-01-22 00:00:00+00:00,59.569717
2007-01-23 00:00:00+00:00,52.971035
2007-01-24 00:00:00+00:00,64.24084
2007-01-25 00:00:00+00:00,57.7382
2007-01-26 00:00:00+00:00,57.99721
2007-01-27 00:00:00+00:00,64.18541
2007-01-28 00:00:00+00:00,54.51129
2007-01-29 00:00:00+00:00,51.097813
2007-01-30 00:00:00+00:00,50.62278
2007-01-31 00:00:00+00:00,48.31477
2007-02-01 00:00:00+00:00,50.11012
2007-02-02 00:00:00+00:00,53.346886
2007-02-03 00:00:00+00:00,48.654835
2007-02-04 00:00:00+00:00,58.489048
2007-02-05 00:00:00+00:00,64.01935
2007-02-06 00:00:00+00:00,62.312805
2007-02-07 00:00:00+00:00,63.437725
2007-02-08 00:00:00+00:00,64.072464
2007-02-09 00:00:00+00:00,75.609
2007-02-10 00:00:00+00:00,78.879326
2007-02-11 00:00:00+00:00,75.279205
2007-02-12 00:00:00+00:00,61.81589
2007-02-13 00:00:00+00:00,74.04262
2007-02-14 00:00:00+00:00,68.662025
2007-02-15 00:00:00+00:00,61.195663
2007-02-16 00:00:00+00:00,65.32807
2007-02-17 00:00:00+00:00,61.17474
2007-02-18 00:00:00+00:00,48.00981
2007-02-19 00:00:00+00:00,45.85764
2007-02-20 00:00:00+00:00,46.888435
2007-02-21 00:00:00+00:00,40.547333
2007-02-22 00:00:00+00:00,41.72563
2007-02-23 00:00:00+00:00,49.757687
2007-02-24 00:00:00+00:00,58.902073
2007-02-25 00:00:00+00:00,58.66033
2007-02-26 00:00:00+00:00,52.388042
2007-02-27 00:00:00+00:00,58.23267
2007-02-28 00:00:00+00:00,52.989964
2007-03-01 00:00:00+00:00,45.671383
2007-03-02 00:00:00+00:00,41.850716
2007-03-03 00:00:00+00:00,42.97652
2007-03-04 00:00:00+00:00,41.657814
2007-03-05 00:00:00+00:00,37.012077
2007-03-06 00:00:00+00:00,30.680576
2007-03-07 00:00:00+00:00,55.171806
2007-03-08 00:00:00+00:00,60.363464
2007-03-09 00:00:00+00:00,56.13746
2007-03-10 00:00:00+00:00,56.85055
2007-03-11 00:00:00+00:00,79.20247
2007-03-12 00:00:00+00:00,77.64539
2007-03-13 00:00:00+00:00,60.597076
2007-03-14 00:00:00+00:00,62.83987
2007-03-15 00:00:00+00:00,53.81912
2007-03-16 00:00:00+00:00,64.47769
2007-03-17 00:00:00+00:00,51.86182
2007-03-18 00:00:00+00:00,44.406406
2007-03-19 00:00:00+00:00,43.813377
2007-03-20 00:00:00+00:00,48.029232
2007-03-21 00:00:00+00:00,58.143208
2007-03-22 00:00:00+00:00,65.9572
2007-03-23 00:00:00+00:00,59.75301
2007-03-24 00:00:00+00:00,51.979576
2007-03-25 00:00:00+00:00,41.533333
2007-03-26 00:00:00+00:00,46.127552
2007-03-27 00:00:00+00:00,47.688534
2007-03-28 00:00:00+00:00,43.588223
2007-03-29 00:00:00+00:00,39.944096
2007-03-30 00:00:00+00:00,41.754692
2007-03-31 00:00:00+00:00,51.54785
2007-04-01 00:00:00+00:00,51.423336
2007-04-02 00:00:00+00:00,52.133648
2007-04-03 00:00:00+00:00,50.290264
2007-04-04 00:00:00+00:00,56.488388
2007-04-05 00:00:00+00:00,60.966434
2007-04-06 00:00:00+00:00,58.714764
2007-04-07 00:00:00+00:00,59.73913
2007-04-08 00:00:00+00:00,56.522385
2007-04-09 00:00:00+00:00,51.574364
2007-04-10 00:00:00+00:00,50.908127
2007-04-11 00:00:00+00:00,55.315197
2007-04-12 00:00:00+00:00,52.23159
2007-04-13 00:00:00+00:00,49.03072
2007-04-14 00:00:00+00:00,45.834282
2007-04-15 00:00:00+00:00,47.390484
2007-04-16 00:00:00+00:00,47.167793
2007-04-17 00:00:00+00:00,44.086327
2007-04-18 00:00:00+00:00,43.464603
2007-04-19 00:00:00+00:00,42.30247
2007-04-20 00:00:00+00:00,40.15188
2007-04-21 00:00:00+00:00,36.4157
