time,wspeed_day_CNRM-CM5_rcp85
2007-01-20 00:00:00+00:00,2.7194471
2007-01-21 00:00:00+00:00,2.2980952
2007-01-22 00:00:00+00:00,2.1327965
2007-01-23 00:00:00+00:00,1.5060337
2007-01-24 00:00:00+00:00,5.3267193
2007-01-25 00:00:00+00:00,1.52479
2007-01-26 00:00:00+00:00,3.7599819
2007-01-27 00:00:00+00:00,1.2629609
2007-01-28 00:00:00+00:00,4.153373
2007-01-29 00:00:00+00:00,1.4502337
2007-01-30 00:00:00+00:00,1.8769171
2007-01-31 00:00:00+00:00,2.8671753
2007-02-01 00:00:00+00:00,2.384998
2007-02-02 00:00:00+00:00,1.3727728
2007-02-03 00:00:00+00:00,1.4314141
2007-02-04 00:00:00+00:00,9.820607
2007-02-05 00:00:00+00:00,2.1322658
2007-02-06 00:00:00+00:00,1.0463227
2007-02-07 00:00:00+00:00,6.122302
2007-02-08 00:00:00+00:00,12.875031
2007-02-09 00:00:00+00:00,1.2062643
2007-02-10 00:00:00+00:00,3.519054
2007-02-11 00:00:00+00:00,6.5030317
2007-02-12 00:00:00+00:00,6.202729
2007-02-13 00:00:00+00:00,2.6244607
2007-02-14 00:00:00+00:00,4.4200997
2007-02-15 00:00:00+00:00,1.3380322
2007-02-16 00:00:00+00:00,4.3737383
2007-02-17 00:00:00+00:00,1.5084214
2007-02-18 00:00:00+00:00,3.6111422
2007-02-19 00:00:00+00:00,3.3186088
2007-02-20 00:00:00+00:00,2.4302382
2007-02-21 00:00:00+00:00,3.2172043
2007-02-22 00:00:00+00:00,1.779478
2007-02-23 00:00:00+00:00,3.69541
2007-02-24 00:00:00+00:00,2.868412
2007-02-25 00:00:00+00:00,6.3230534
2007-02-26 00:00:00+00:00,1.6785907
2007-02-27 00:00:00+00:00,3.7268088
2007-02-28 00:00:00+00:00,1.9386202
2007-03-01 00:00:00+00:00,4.690138
2007-03-02 00:00:00+00:00,1.9574192
2007-03-03 00:00:00+00:00,2.353281
2007-03-04 00:00:00+00:00,7.370403
2007-03-05 00:00:00+00:00,5.104106
2007-03-06 00:00:00+00:00,4.3593254
2007-03-07 00:00:00+00:00,3.9693124
2007-03-08 00:00:00+00:00,3.2005439
2007-03-09 00:00:00+00:00,2.0358047
2007-03-10 00:00:00+00:00,7.229063
2007-03-11 00:00:00+00:00,7.315116
2007-03-12 00:00:00+00:00,9.64845
2007-03-13 00:00:00+00:00,2.856798
2007-03-14 00:00:00+00:00,5.293858
2007-03-15 00:00:00+00:00,1.8571413
2007-03-16 00:00:00+00:00,6.034855
2007-03-17 00:00:00+00:00,1.6257734
2007-03-18 00:00:00+00:00,2.9081063
2007-03-19 00:00:00+00:00,1.9252071
2007-03-20 00:00:00+00:00,3.222595
2007-03-21 00:00:00+00:00,5.9183097
2007-03-22 00:00:00+00:00,9.786635
2007-03-23 00:00:00+00:00,5.4632587
2007-03-24 00:00:00+00:00,1.7417296
2007-03-25 00:00:00+00:00,2.055452
2007-03-26 00:00:00+00:00,2.9595633
2007-03-27 00:00:00+00:00,3.4804015
2007-03-28 00:00:00+00:00,1.6089605
2007-03-29 00:00:00+00:00,2.3779545
2007-03-30 00:00:00+00:00,3.0179427
2007-03-31 00:00:00+00:00,3.9667544
2007-04-01 00:00:00+00:00,1.3425223
2007-04-02 00:00:00+00:00,5.715999
2007-04-03 00:00:00+00:00,1.8707507
2007-04-04 00:00:00+00:00,5.1460013
2007-04-05 00:00:00+00:00,2.3091311
2007-04-06 00:00:00+00:00,3.539141
2007-04-07 00:00:00+00:00,1.5799276
2007-04-08 00:00:00+00:00,4.4728637
2007-04-09 00:00:00+00:00,1.8044883
2007-04-10 00:00:00+00:00,2.867015
2007-04-11 00:00:00+00:00,3.7796018
2007-04-12 00:00:00+00:00,3.4086413
2007-04-13 00:00:00+00:00,2.392625
2007-04-14 00:00:00+00:00,2.7807472
2007-04-15 00:00:00+00:00,2.6867614
2007-04-16 00:00:00+00:00,6.3145757
2007-04-17 00:00:00+00:00,5.3546166
2007-04-18 00:00:00+00:00,2.0535197
2007-04-19 00:00:00+00:00,2.5308661
2007-04-20 00:00:00+00:00,6.6668186
2007-04-21 00:00:00+00:00,5.2139516
2007-04-22 00:00:00+00:00,1.4970434
2007-04-23 00:00:00+00:00,1.5534067
2007-04-24 00:00:00+00:00,3.2335894
2007-04-25 00:00:00+00:00,2.6188211
2007-04-26 00:00:00+00:00,3.2102852
2007-04-27 00:00:00+00:00,1.9226123
2007-04-28 00:00:00+00:00,4.5413504
2007-04-29 00:00:00+00:00,4.059732
2007-04-30 00:00:00+00:00,3.038067
2007-05-01 00:00:00+00:00,4.6586537
2007-05-02 00:00:00+00:00,6.1369457
2007-05-03 00:00:00+00:00,8.666056
2007-05-04 00:00:00+00:00,2.7001817
2007-05-05 00:00:00+00:00,2.24726
2007-05-06 00:00:00+00:00,2.1145744
2007-05-07 00:00:00+00:00,3.6881988
2007-05-08 00:00:00+00:00,2.2962668
2007-05-09 00:00:00+00:00,1.6754525
2007-05-10 00:00:00+00:00,2.3163345
2007-05-11 00:00:00+00:00,6.3898454
2007-05-12 00:00:00+00:00,5.4187274
2007-05-13 00:00:00+00:00,1.7037599
2007-05-14 00:00:00+00:00,3.8180017
2007-05-15 00:00:00+00:00,5.120957
2007-05-16 00:00:00+00:00,3.0825522
2007-05-17 00:00:00+00:00,2.4037232
2007-05-18 00:00:00+00:00,2.7665238
2007-05-19 00:00:00+00:00,3.114565
2007-05-20 00:00:00+00:00,2.6269784
2007-05-21 00:00:00+00:00,1.7607731
2007-05-22 00:00:00+00:00,1.8981738
2007-05-23 00:00:00+00:00,2.9383261
2007-05-24 00:00:00+00:00,3.875919
2007-05-25 00:00:00+00:00,3.894315
2007-05-26 00:00:00+00:00,4.5386033
2007-05-27 00:00:00+00:00,4.4440174
2007-05-28 00:00:00+00:00,1.8267975
2007-05-29 00:00:00+00:00,2.5355554
2007-05-30 00:00:00+00:00,2.148218
2007-05-31 00:00:00+00:00,3.0987864
2007-06-01 00:00:00+00:00,3.2325294
2007-06-02 00:00:00+00:00,3.6423428
2007-06-03 00:00:00+00:00,2.9343593
2007-06-04 00:00:00+00:00,2.270596
2007-06-05 00:00:00+00:00,2.1673431
2007-06-06 00:00:00+00:00,2.058026
2007-06-07 00:00:00+00:00,4.310144
2007-06-08 00:00:00+00:00,2.679948
2007-06-09 00:00:00+00:00,2.237997
2007-06-10 00:00:00+00:00,2.055565
2007-06-11 00:00:00+00:00,4.1842823
2007-06-12 00:00:00+00:00,3.6000304
2007-06-13 00:00:00+00:00,2.962798
2007-06-14 00:00:00+00:00,3.3193073
2007-06-15 00:00:00+00:00,2.68395
2007-06-16 00:00:00+00:00,3.5420175
2007-06-17 00:00:00+00:00,2.7003872
2007-06-18 00:00:00+00:00,1.8017406
2007-06-19 00:00:00+00:00,3.0502784
2007-06-20 00:00:00+00:00,3.87789
2007-06-21 00:00:00+00:00,3.6501534
2007-06-22 00:00:00+00:00,2.730707
2007-06-23 00:00:00+00:00,2.453201
2007-06-24 00:00:00+00:00,2.7975845
2007-06-25 00:00:00+00:00,3.177554
2007-06-26 00:00:00+00:00,4.0169973
2007-06-27 00:00:00+00:00,2.5694878
2007-06-28 00:00:00+00:00,2.520414
2007-06-29 00:00:00+00:00,2.1827226
2007-06-30 00:00:00+00:00,2.3516626
2007-07-01 00:00:00+00:00,2.2559576
2007-07-02 00:00:00+00:00,2.4260223
2007-07-03 00:00:00+00:00,1.9716173
2007-07-04 00:00:00+00:00,2.4769623
2007-07-05 00:00:00+00:00,2.8359761
2007-07-06 00:00:00+00:00,2.4485657
2007-07-07 00:00:00+00:00,2.5193946
2007-07-08 00:00:00+00:00,2.6594398
2007-07-09 00:00:00+00:00,2.1206367
2007-07-10 00:00:00+00:00,2.9775026
2007-07-11 00:00:00+00:00,5.387272
2007-07-12 00:00:00+00:00,2.4282594
2007-07-13 00:00:00+00:00,3.5693169
2007-07-14 00:00:00+00:00,4.6427655
2007-07-15 00:00:00+00:00,5.3302712
2007-07-16 00:00:00+00:00,5.1790333
2007-07-17 00:00:00+00:00,2.8965423
2007-07-18 00:00:00+00:00,2.804972
2007-07-19 00:00:00+00:00,2.8008296
2007-07-20 00:00:00+00:00,4.2306557
2007-07-21 00:00:00+00:00,4.408532
2007-07-22 00:00:00+00:00,3.4385376
2007-07-23 00:00:00+00:00,4.2692814
2007-07-24 00:00:00+00:00,3.0603755
2007-07-25 00:00:00+00:00,2.752979
2007-07-26 00:00:00+00:00,3.0699039
2007-07-27 00:00:00+00:00,2.6809611
2007-07-28 00:00:00+00:00,2.667864
2007-07-29 00:00:00+00:00,3.2146049
2007-07-30 00:00:00+00:00,2.752801
2007-07-31 00:00:00+00:00,3.332859
2007-08-01 00:00:00+00:00,3.202477
2007-08-02 00:00:00+00:00,4.0072575
2007-08-03 00:00:00+00:00,2.5981076
2007-08-04 00:00:00+00:00,2.709367
2007-08-05 00:00:00+00:00,3.323118
2007-08-06 00:00:00+00:00,3.5925734
2007-08-07 00:00:00+00:00,2.9246583
2007-08-08 00:00:00+00:00,2.6908402
2007-08-09 00:00:00+00:00,2.5537047
2007-08-10 00:00:00+00:00,2.8282065
2007-08-11 00:00:00+00:00,3.3281782
2007-08-12 00:00:00+00:00,3.99264
2007-08-13 00:00:00+00:00,4.0803404
2007-08-14 00:00:00+00:00,3.4066105
2007-08-15 00:00:00+00:00,3.1704798
2007-08-16 00:00:00+00:00,4.254141
2007-08-17 00:00:00+00:00,5.111383
2007-08-18 00:00:00+00:00,1.6590759
2007-08-19 00:00:00+00:00,2.8163297
2007-08-20 00:00:00+00:00,2.5504367
2007-08-21 00:00:00+00:00,3.7700727
2007-08-22 00:00:00+00:00,4.4028916
2007-08-23 00:00:00+00:00,4.1593165
2007-08-24 00:00:00+00:00,3.5755131
2007-08-25 00:00:00+00:00,3.2791638
2007-08-26 00:00:00+00:00,2.7670467
2007-08-27 00:00:00+00:00,2.1724188
2007-08-28 00:00:00+00:00,2.1463966
2007-08-29 00:00:00+00:00,1.9299864
