time,tasmax_day_CNRM-CM5_rcp85
2007-01-11 00:00:00+00:00,286.97202
2007-01-12 00:00:00+00:00,287.85324
2007-01-13 00:00:00+00:00,286.76
2007-01-14 00:00:00+00:00,284.53952
2007-01-15 00:00:00+00:00,285.54047
2007-01-16 00:00:00+00:00,285.95444
2007-01-17 00:00:00+00:00,286.48376
2007-01-18 00:00:00+00:00,288.3662
2007-01-19 00:00:00+00:00,289.77225
2007-01-20 00:00:00+00:00,290.57803
2007-01-21 00:00:00+00:00,290.30472
2007-01-22 00:00:00+00:00,287.8312
2007-01-23 00:00:00+00:00,290.25873
2007-01-24 00:00:00+00:00,290.46878
2007-01-25 00:00:00+00:00,289.8018
2007-01-26 00:00:00+00:00,287.6154
2007-01-27 00:00:00+00:00,287.5679
2007-01-28 00:00:00+00:00,287.25037
2007-01-29 00:00:00+00:00,288.02762
2007-01-30 00:00:00+00:00,288.49612
2007-01-31 00:00:00+00:00,291.2412
2007-02-01 00:00:00+00:00,291.55618
2007-02-02 00:00:00+00:00,291.41742
2007-02-03 00:00:00+00:00,293.3039
2007-02-04 00:00:00+00:00,290.79312
2007-02-05 00:00:00+00:00,285.6524
2007-02-06 00:00:00+00:00,284.0693
2007-02-07 00:00:00+00:00,285.01828
2007-02-08 00:00:00+00:00,285.74896
2007-02-09 00:00:00+00:00,286.13266
2007-02-10 00:00:00+00:00,283.73077
2007-02-11 00:00:00+00:00,287.31375
2007-02-12 00:00:00+00:00,289.19812
2007-02-13 00:00:00+00:00,287.76956
2007-02-14 00:00:00+00:00,288.8611
2007-02-15 00:00:00+00:00,289.34543
2007-02-16 00:00:00+00:00,288.86777
2007-02-17 00:00:00+00:00,289.11868
2007-02-18 00:00:00+00:00,291.78604
2007-02-19 00:00:00+00:00,293.50006
2007-02-20 00:00:00+00:00,294.67722
2007-02-21 00:00:00+00:00,296.70752
2007-02-22 00:00:00+00:00,296.05905
2007-02-23 00:00:00+00:00,294.66586
2007-02-24 00:00:00+00:00,290.7535
2007-02-25 00:00:00+00:00,289.19012
2007-02-26 00:00:00+00:00,289.08047
2007-02-27 00:00:00+00:00,289.40182
2007-02-28 00:00:00+00:00,291.3709
2007-03-01 00:00:00+00:00,294.04358
2007-03-02 00:00:00+00:00,295.69928
2007-03-03 00:00:00+00:00,296.1632
2007-03-04 00:00:00+00:00,292.5918
2007-03-05 00:00:00+00:00,287.72174
2007-03-06 00:00:00+00:00,288.5272
2007-03-07 00:00:00+00:00,287.566
2007-03-08 00:00:00+00:00,288.29074
2007-03-09 00:00:00+00:00,289.79153
2007-03-10 00:00:00+00:00,289.6983
2007-03-11 00:00:00+00:00,284.18137
2007-03-12 00:00:00+00:00,283.98087
2007-03-13 00:00:00+00:00,286.49084
2007-03-14 00:00:00+00:00,286.1223
2007-03-15 00:00:00+00:00,289.3536
2007-03-16 00:00:00+00:00,289.98163
2007-03-17 00:00:00+00:00,292.02274
2007-03-18 00:00:00+00:00,296.14313
2007-03-19 00:00:00+00:00,297.4796
2007-03-20 00:00:00+00:00,295.8746
2007-03-21 00:00:00+00:00,293.1835
2007-03-22 00:00:00+00:00,290.61276
2007-03-23 00:00:00+00:00,290.04626
2007-03-24 00:00:00+00:00,290.29526
2007-03-25 00:00:00+00:00,295.05453
2007-03-26 00:00:00+00:00,294.22168
2007-03-27 00:00:00+00:00,291.54163
2007-03-28 00:00:00+00:00,291.6438
2007-03-29 00:00:00+00:00,294.36438
2007-03-30 00:00:00+00:00,295.56473
2007-03-31 00:00:00+00:00,295.0884
2007-04-01 00:00:00+00:00,295.93933
2007-04-02 00:00:00+00:00,294.91858
2007-04-03 00:00:00+00:00,295.4434
2007-04-04 00:00:00+00:00,293.1634
2007-04-05 00:00:00+00:00,293.79648
2007-04-06 00:00:00+00:00,293.2126
2007-04-07 00:00:00+00:00,292.76263
2007-04-08 00:00:00+00:00,290.83597
2007-04-09 00:00:00+00:00,290.68994
2007-04-10 00:00:00+00:00,291.28726
2007-04-11 00:00:00+00:00,289.43658
2007-04-12 00:00:00+00:00,291.28427
2007-04-13 00:00:00+00:00,294.2881
2007-04-14 00:00:00+00:00,296.54987
2007-04-15 00:00:00+00:00,294.23578
2007-04-16 00:00:00+00:00,291.6401
2007-04-17 00:00:00+00:00,290.91623
2007-04-18 00:00:00+00:00,292.56738
2007-04-19 00:00:00+00:00,295.17294
2007-04-20 00:00:00+00:00,294.84705
2007-04-21 00:00:00+00:00,295.14676
2007-04-22 00:00:00+00:00,298.90366
2007-04-23 00:00:00+00:00,298.34158
2007-04-24 00:00:00+00:00,296.84344
2007-04-25 00:00:00+00:00,299.15823
2007-04-26 00:00:00+00:00,298.82874
2007-04-27 00:00:00+00:00,297.80634
2007-04-28 00:00:00+00:00,296.0209
2007-04-29 00:00:00+00:00,298.46234
2007-04-30 00:00:00+00:00,298.87793
2007-05-01 00:00:00+00:00,299.01788
2007-05-02 00:00:00+00:00,300.70834
2007-05-03 00:00:00+00:00,298.3262
2007-05-04 00:00:00+00:00,300.5677
2007-05-05 00:00:00+00:00,300.22617
2007-05-06 00:00:00+00:00,300.9047
2007-05-07 00:00:00+00:00,303.96695
2007-05-08 00:00:00+00:00,302.4824
2007-05-09 00:00:00+00:00,303.0262
2007-05-10 00:00:00+00:00,304.6296
2007-05-11 00:00:00+00:00,301.39786
2007-05-12 00:00:00+00:00,298.1643
2007-05-13 00:00:00+00:00,300.56555
2007-05-14 00:00:00+00:00,301.00458
2007-05-15 00:00:00+00:00,296.81366
2007-05-16 00:00:00+00:00,294.8236
2007-05-17 00:00:00+00:00,298.0912
2007-05-18 00:00:00+00:00,302.80862
2007-05-19 00:00:00+00:00,305.51617
2007-05-20 00:00:00+00:00,306.04956
2007-05-21 00:00:00+00:00,305.7744
2007-05-22 00:00:00+00:00,305.9192
2007-05-23 00:00:00+00:00,306.53403
2007-05-24 00:00:00+00:00,303.78638
2007-05-25 00:00:00+00:00,301.56534
2007-05-26 00:00:00+00:00,303.52353
2007-05-27 00:00:00+00:00,305.6522
2007-05-28 00:00:00+00:00,307.35654
2007-05-29 00:00:00+00:00,305.00693
2007-05-30 00:00:00+00:00,300.26324
2007-05-31 00:00:00+00:00,299.35123
2007-06-01 00:00:00+00:00,297.94806
2007-06-02 00:00:00+00:00,297.1257
2007-06-03 00:00:00+00:00,300.691
2007-06-04 00:00:00+00:00,304.33353
2007-06-05 00:00:00+00:00,307.46405
2007-06-06 00:00:00+00:00,308.89594
2007-06-07 00:00:00+00:00,304.74057
2007-06-08 00:00:00+00:00,298.10187
2007-06-09 00:00:00+00:00,303.05655
2007-06-10 00:00:00+00:00,303.40698
2007-06-11 00:00:00+00:00,303.42715
2007-06-12 00:00:00+00:00,302.25577
2007-06-13 00:00:00+00:00,301.3058
2007-06-14 00:00:00+00:00,297.93646
2007-06-15 00:00:00+00:00,298.05826
2007-06-16 00:00:00+00:00,301.2498
2007-06-17 00:00:00+00:00,307.80063
2007-06-18 00:00:00+00:00,311.55017
2007-06-19 00:00:00+00:00,309.72552
2007-06-20 00:00:00+00:00,305.2034
2007-06-21 00:00:00+00:00,301.0176
2007-06-22 00:00:00+00:00,304.86658
2007-06-23 00:00:00+00:00,306.6042
2007-06-24 00:00:00+00:00,305.04807
2007-06-25 00:00:00+00:00,302.03336
2007-06-26 00:00:00+00:00,302.00388
2007-06-27 00:00:00+00:00,308.15918
2007-06-28 00:00:00+00:00,312.7864
2007-06-29 00:00:00+00:00,313.4794
2007-06-30 00:00:00+00:00,312.75934
2007-07-01 00:00:00+00:00,313.71634
2007-07-02 00:00:00+00:00,313.29395
2007-07-03 00:00:00+00:00,313.92334
2007-07-04 00:00:00+00:00,312.56686
2007-07-05 00:00:00+00:00,309.81815
2007-07-06 00:00:00+00:00,308.73746
2007-07-07 00:00:00+00:00,307.48755
2007-07-08 00:00:00+00:00,308.81985
2007-07-09 00:00:00+00:00,310.70612
2007-07-10 00:00:00+00:00,310.1735
2007-07-11 00:00:00+00:00,308.01593
2007-07-12 00:00:00+00:00,304.64014
2007-07-13 00:00:00+00:00,306.01422
2007-07-14 00:00:00+00:00,304.422
2007-07-15 00:00:00+00:00,303.20386
2007-07-16 00:00:00+00:00,304.05338
2007-07-17 00:00:00+00:00,303.25333
2007-07-18 00:00:00+00:00,301.13364
2007-07-19 00:00:00+00:00,305.805
2007-07-20 00:00:00+00:00,308.37244
2007-07-21 00:00:00+00:00,311.53644
2007-07-22 00:00:00+00:00,312.12357
2007-07-23 00:00:00+00:00,309.77945
2007-07-24 00:00:00+00:00,309.44888
2007-07-25 00:00:00+00:00,312.42828
2007-07-26 00:00:00+00:00,312.4437
2007-07-27 00:00:00+00:00,311.2075
2007-07-28 00:00:00+00:00,309.81116
2007-07-29 00:00:00+00:00,308.28674
2007-07-30 00:00:00+00:00,307.82977
2007-07-31 00:00:00+00:00,306.5481
2007-08-01 00:00:00+00:00,306.64752
2007-08-02 00:00:00+00:00,307.95224
2007-08-03 00:00:00+00:00,312.91965
2007-08-04 00:00:00+00:00,312.95285
2007-08-05 00:00:00+00:00,311.0291
2007-08-06 00:00:00+00:00,309.8522
2007-08-07 00:00:00+00:00,308.17502
2007-08-08 00:00:00+00:00,308.4801
2007-08-09 00:00:00+00:00,309.50635
2007-08-10 00:00:00+00:00,308.81177
2007-08-11 00:00:00+00:00,308.01315
2007-08-12 00:00:00+00:00,306.96872
2007-08-13 00:00:00+00:00,307.541
2007-08-14 00:00:00+00:00,305.85425
2007-08-15 00:00:00+00:00,304.09964
2007-08-16 00:00:00+00:00,304.6715
2007-08-17 00:00:00+00:00,306.95935
2007-08-18 00:00:00+00:00,310.0031
2007-08-19 00:00:00+00:00,310.06992
2007-08-20 00:00:00+00:00,307.75583
2007-08-21 00:00:00+00:00,307.2378
2007-08-22 00:00:00+00:00,307.5926
2007-08-23 00:00:00+00:00,308.14493
2007-08-24 00:00:00+00:00,309.3088
2007-08-25 00:00:00+00:00,310.94025
2007-08-26 00:00:00+00:00,312.16953
2007-08-27 00:00:00+00:00,313.66492
2007-08-28 00:00:00+00:00,314.88513
2007-08-29 00:00:00+00:00,315.5999
2007-08-30 00:00:00+00:00,316.02673
2007-08-31 00:00:00+00:00,312.7288
2007-09-01 00:00:00+00:00,311.57443
