type	latitude	longitude	altitude (m)	name
W	41.662807124	-123.118781990	883.6	598
W	41.662807124	-123.048781990	1373.0	599
W	41.662807124	-122.978781990	1112.8	600
W	41.662807124	-122.908781990	985.3	601
W	41.662807124	-122.838781990	987.7	602
W	41.662807124	-122.768781990	1308.0	603
W	41.662807124	-122.698781990	1091.8	604
W	41.662807124	-122.628781990	957.8	605
W	41.662807124	-122.558781990	825.3	606
W	41.662807124	-122.488781990	772.4	607
W	41.662807124	-122.418781990	857.1	608
W	41.662807124	-122.348781990	859.6	609
W	41.662807124	-122.278781990	1601.7	610
W	41.662807124	-122.208781990	1674.6	611
W	41.662807124	-122.138781990	1635.4	612
W	41.662807124	-122.068781990	1488.6	613
W	41.662807124	-121.998781990	1491.0	614
W	41.662807124	-121.928781990	1377.8	615
W	41.662807124	-121.858781990	1396.0	616
W	41.662807124	-121.788781990	1607.3	617
W	41.662807124	-121.718781990	1512.3	618
W	41.662807124	-121.648781990	1751.3	619
W	41.662807124	-121.578781990	1832.7	620
W	41.662807124	-121.508781990	1762.7	621
W	41.662807124	-121.438781990	1378.2	622
W	41.662807124	-121.368781990	1296.7	623
W	41.662807124	-121.298781990	1281.0	624
W	41.662807124	-121.228781990	1293.6	625
W	41.662807124	-121.158781990	1363.7	626
W	41.662807124	-121.088781990	1475.9	627
W	41.662807124	-121.018781990	1512.9	628
W	41.662807124	-120.948781990	1519.0	629
W	41.662807124	-120.878781990	1520.0	630
W	41.662807124	-120.808781990	1517.4	631
W	41.662807124	-120.738781990	1513.2	632
W	41.662807124	-120.668781990	1500.3	633
W	41.662807124	-120.598781990	1519.4	634
W	41.662807124	-120.528781990	1528.3	635
W	41.662807124	-120.458781990	1512.8	636
W	41.662807124	-120.388781990	1446.5	637
